Round Number,Home Team,Away Team,Result,notyetplayed,home_chance,draw_chance,away_chance,all_chance,home_odds,draw_odds,away_odds
1,Sparta,Aris,,x,64,22,14,1,1.5625,4.54545,7.14286
1,Rangers,Betis,,x,38,29,33,1,2.63158,3.44828,3.0303
2,Betis,Sparta,,x,53,25,22,1,1.88679,4,4.54545
2,Aris,Rangers,,x,29,26,45,1,3.44828,3.84615,2.22222
3,Sparta,Rangers,,x,43,28,29,1,2.32558,3.57143,3.44828
3,Aris,Betis,,x,22,24,54,1,4.54545,4.16667,1.85185
4,Rangers,Sparta,,x,54,25,21,1,1.85185,4,4.7619
4,Betis,Aris,,x,77,16,7,1,1.2987,6.25,14.2857
5,Sparta,Betis,,x,39,26,35,1,2.5641,3.84615,2.85714
5,Rangers,Aris,,x,72,17,11,1,1.38889,5.88235,9.09091
6,Aris,Sparta,,x,27,25,48,1,3.7037,4,2.08333
6,Betis,Rangers,,x,50,25,25,1,2,4,4
